Suburb,Address,Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,CouncilArea
Brunswick,8/705 Park St,2,u,660000,1.2,1,1,0,77,2000,-37.8288,144.9679,Melbourne City Council
Brunswick,35 Percy St,2,u,622500,1.2,2,1,2955,67,2013,-37.8299,144.9679,Melbourne City Council
Brunswick,5/6 Pottery Ct,2,u,370000,1.2,1,1,546,51,2000,-37.8274,144.9587,Melbourne City Council
Brunswick,2/6 Sydney Rd,2,t,575000,5.1,2,1,88,94.5,2000,-37.78872,144.88891,Maribyrnong City Council
Brunswick,28 Frederick St,3,h,665000,6.6,1,0,269,80,1900,-37.8026,144.8882,Maribyrnong City Council
Brunswick,7 Louisa St,3,h,1325000,6.6,3,2,227,211,2015,-37.8033,144.8897,Maribyrnong City Council
Brunswick,11 Denman St,4,h,1330000,6.6,3,2,168,187,2012,-37.8066,144.887,Maribyrnong City Council
Brunswick,10 Cliff St,1,h,1201000,6.6,2,1,299,158,1910,-37.8087,144.8952,Maribyrnong City Council
Brunswick West,8/7 Passfield St,2,h,875000,6.6,2,2,193,154,2000,-37.8065,144.8866,Maribyrnong City Council
Brunswick West,25 Wales St,3,h,1275000,6.6,3,1,386,218,1890,-37.8078,144.8846,Maribyrnong City Council
Brunswick West,12/881 Park St,1,h,955000,6.6,1,0,148,72,1912,-37.8084,144.8907,Maribyrnong City Council
Brunswick West,6/524 Moreland Rd,2,u,533000,6.6,1,1,0,62,2012,-37.8042,144.892,Maribyrnong City Council
Brunswick West,81 Whitby St,3,h,970000,6.6,2,1,149,127,1920,-37.8047,144.8948,Maribyrnong City Council
Brunswick West,2 Henderson St,7,u,355000,6.6,1,1,0,71,1975,-37.8066,144.8971,Maribyrnong City Council
Brunswick West,4/42 Passfield St,2,h,1270000,6.6,1,1,352,150,1890,-37.8059,144.8899,Maribyrnong City Council
Brunswick West,3/546 Moreland Rd,2,h,815000,6.6,1,0,172,81,1900,-37.81,144.8896,Maribyrnong City Council
Brunswick West,6/86 Heller St,2,h,860000,5.1,2,2,162,143,2015,-37.8007,144.88207,Maribyrnong City Council
Brunswick West,2/494 Victoria St,3,h,885000,5.1,1,0,176,78,1914,-37.80898,144.8902,Maribyrnong City Council
Bulleen,206 Manningham Rd,4,h,1170000,5.1,1,0,203,103,1930,-37.80786,144.88936,Maribyrnong City Council
Bulleen,9 Albany Pl,5,h,931000,5.1,1,0,240,101,1930,-37.79392,144.88418,Maribyrnong City Council
Bulleen,14 Collins St,3,h,1502000,5.1,3,1,934,199,2014,-37.80898,144.88701,Maribyrnong City Council
Hampton,1/12 Grenville St,2,h,817000,5.1,1,1,256,75,1900,-37.80389,144.88711,Maribyrnong City Council
Hawthorn,95 Church St,3,u,170000,5.1,1,0,30,26,2013,-37.80141,144.89587,Maribyrnong City Council
Heidelberg Heights,2/76 Porter Rd,3,h,1067000,5.1,1,1,223,92,1910,-37.80543,144.89691,Maribyrnong City Council
Heidelberg West,6 Normanby Ct,2,h,1003000,6.4,1,1,292,98,1900,-37.797,144.9051,Maribyrnong City Council
Ivanhoe,3 Sylvan Ct,3,h,840000,6.4,1,0,164,93,1900,-37.7959,144.8863,Maribyrnong City Council
Ivanhoe East,325 The Boulevard,5,h,1362000,6.4,2,0,497,156,1890,-37.7958,144.9024,Maribyrnong City Council
Keilor East,63 Park Dr,3,u,216000,6.4,1,1,0,50,1970,-37.7907,144.8924,Maribyrnong City Council
Keilor East,87A Wyong St,3,h,876000,6.4,2,2,204,106,1990,-37.8012,144.8921,Maribyrnong City Council
Keilor East,3 Pennington St,3,u,227000,6.4,1,1,0,52,1970,-37.7907,144.8924,Maribyrnong City Council
Kew,62 Wiltshire Dr,3,t,480000,6.4,1,1,556,75,2010,-37.7919,144.8854,Maribyrnong City Council
Kingsville,100 Coronation St,4,h,910000,6.4,1,1,361,118,1940,-37.7913,144.8879,Maribyrnong City Council
Maidstone,18 Pullar St,2,h,1155000,6.4,1,3,585,120,1950,-37.7941,144.8924,Maribyrnong City Council
Malvern East,24 Kerferd St,4,h,775000,6.4,1,2,277,87,1890,-37.7901,144.8883,Maribyrnong City Council
Malvern East,1/29 Grant St,2,u,281000,6.4,1,1,0,65,1980,-37.7891,144.8912,Maribyrnong City Council
Malvern East,22 Quentin Rd,4,h,950000,6.4,1,2,657,92,1940,-37.7909,144.8884,Maribyrnong City Council
Melbourne,601/616 Little Collins St,4,h,760000,6.4,1,1,265,115,1910,-37.7975,144.8894,Maribyrnong City Council
Melbourne,204/300 Swanston St,2,h,932000,6.4,1,1,451,130,1910,-37.8023,144.8915,Maribyrnong City Council
Moonee Ponds,907/341 Ascot Vale Rd,2,h,780000,6.4,1,2,323,129,1900,-37.7935,144.8893,Maribyrnong City Council
Moonee Ponds,99 Eglinton St,4,h,1170000,6.4,1,1,184,103,1900,-37.7988,144.902,Maribyrnong City Council
Moonee Ponds,27/15 Moore St,2,u,375000,6.4,1,1,0,50,1920,-37.8006,144.881,Maribyrnong City Council
Moonee Ponds,109 Waverley St,4,h,860500,6.4,2,2,322,228,1980,-37.7963,144.8862,Maribyrnong City Council
Murrumbeena,5 Donal St,3,h,858000,6.4,1,1,313,93,1915,-37.7966,144.9016,Maribyrnong City Council
Sunbury,6 Dyson Dr,3,h,835000,6.4,1,1,222,109,1920,-37.7962,144.8844,Maribyrnong City Council
Sunshine North,7 Busch St,3,h,757500,6.4,1,0,258,108,1900,-37.7959,144.8901,Maribyrnong City Council
Thornbury,63a Clarendon St,3,u,315000,6.4,1,1,882,74,1970,-37.7899,144.893,Maribyrnong City Council
Thornbury,146 Mansfield St,3,h,760000,6.4,1,0,130,70,1920,-37.7988,144.9045,Maribyrnong City Council
Werribee,27 Sinns Av,5,t,735000,6.4,2,2,112,168,2010,-37.8001,144.8797,Maribyrnong City Council
Wheelers Hill,9 Walden Av,5,h,1225000,6.4,2,1,319,130,1915,-37.7943,144.8875,Maribyrnong City Council
Wollert,35 Kingscote Wy,3,u,395000,6.4,2,1,0,79,2009,-37.8006,144.9053,Maribyrnong City Council
Brunswick East,219 Glenlyon Rd,3,h,1450000,6.4,1,1,799,160,1910,-37.7958,144.9001,Maribyrnong City Council
Bundoora,12 Norwood Ct,3,h,716000,6.4,1,2,274,275,2000,-37.7939,144.8846,Maribyrnong City Council
Burwood East,1 Sartori St,4,h,1205000,7.8,1,1,318,145,1960,-37.8105,144.8803,Maribyrnong City Council
Camberwell,5/26 Cornell St,2,h,472500,9.2,1,0,315,89,1990,-37.7835,144.8723,Maribyrnong City Council
Carnegie,5/12 Judith St,1,u,435000,6.4,2,1,0,96,2017,-37.77813,144.87287,Maribyrnong City Council
Carnegie,7/177 Oakleigh Rd,2,h,857500,6.4,1,3,417,115,1950,-37.79139,144.86596,Maribyrnong City Council
Carnegie,1/108 Truganini Rd,4,h,935000,8.2,1,2,325,102,1925,-37.7922,144.8818,Maribyrnong City Council
Croydon,21 Taylors Rd,4,h,1155000,6.4,2,1,342,123,1920,-37.79369,144.87511,Maribyrnong City Council
Deer Park,13 Cavendish Dr,3,h,730000,7.8,2,0,84,130,1900,-37.8058,144.8846,Maribyrnong City Council
Dingley Village,2 Cormorant Pl,3,u,210000,7.8,1,1,0,36,1970,-37.81,144.8786,Maribyrnong City Council
Doncaster East,20 Dianne St,4,h,925000,7.8,1,1,275,100,1920,-37.8085,144.8802,Maribyrnong City Council
Fitzroy,502/416 Gore St,2,u,200000,7.8,1,1,0,38,1960,-37.8089,144.8788,Maribyrnong City Council
Gladstone Park,19 Osborne Av,4,h,870000,6.4,1,2,390,96,1940,-37.79256,144.86715,Maribyrnong City Council
Glenroy,58 Bindi St,4,h,826000,9.2,2,2,308,185,2012,-37.7833,144.8817,Maribyrnong City Council
Greensborough,53 Narbethong Dr,3,u,275000,9.2,1,1,1972,63,1960,-37.7863,144.8769,Maribyrnong City Council
Hadfield,3A Neil St,2,h,840000,9.2,1,1,584,81,1900,-37.7885,144.8771,Maribyrnong City Council
Hampton East,3/8 Eldon Ct,2,u,349000,9.2,1,1,0,69,2011,-37.7795,144.8729,Maribyrnong City Council
Hampton Park,6 The Mews,3,t,555000,9.2,1,2,210,121,2012,-37.7869,144.8749,Maribyrnong City Council
Hughesdale,40 Canterbury St,5,t,600000,9.2,2,1,145,112,2012,-37.7801,144.869,Maribyrnong City Council
Ivanhoe,49 Carn Av,5,h,1000000,6.4,2,2,275,282,1940,-37.80592,144.8807,Maribyrnong City Council
Jacana,17 Fidge Ct,2,h,912500,8.2,1,1,444,98,1940,-37.7933,144.876,Maribyrnong City Council
Keilor Park,39 Flinders St,3,h,837000,8.2,2,3,390,149,1950,-37.7926,144.8639,Maribyrnong City Council
Maidstone,19/8 Crefden St,2,t,620000,8.2,1,2,255,148,2001,-37.8038,144.8679,Maribyrnong City Council
Meadow Heights,10 Castella Ct,3,h,830000,8.2,1,2,426,144,1930,-37.7919,144.8793,Maribyrnong City Council
Melton,22 Bittern St,3,h,860000,8.2,1,2,501,147,1960,-37.7912,144.868,Maribyrnong City Council
Mentone,11/19 Brindisi St,2,h,507000,10.9,1,2,191,87,2014,-37.8226,144.8392,Brimbank City Council
Mill Park,23 Galilee Cr,3,h,1180000,6.4,2,0,277,137,1910,-37.80535,144.88297,Maribyrnong City Council
Mill Park,49 Romano Av,4,u,280000,6.4,1,1,3826,55,2009,-37.77757,144.87232,Maribyrnong City Council
Mordialloc,49 Jenkins St,4,h,850000,6.4,1,2,269,111,1910,-37.79638,144.87911,Maribyrnong City Council
Mordialloc,9A Montgomery St,3,t,670000,6.4,2,2,159,128,2016,-37.78502,144.86733,Maribyrnong City Council
North Melbourne,39/101 Leveson St,2,h,892000,7,1,2,449,106.8,1940,-37.8195,144.8766,Maribyrnong City Council
Oakleigh East,1/22 Nonna St,3,u,650000,7,2,2,0,92,1985,-37.8161,144.8967,Maribyrnong City Council
Oakleigh South,4/1248 North Rd,4,h,650000,7,1,2,304,81,1960,-37.8122,144.8671,Maribyrnong City Council
Parkdale,1/168 Beach Rd,4,h,750000,7,2,1,390,126,1980,-37.8227,144.8955,Maribyrnong City Council
Pascoe Vale,8A Tangyes St,3,h,872500,7,1,2,189,85,1920,-37.8145,144.8808,Maribyrnong City Council
South Melbourne,1 Reilly Pl,3,h,1455000,7,1,1,328,140,1920,-37.8097,144.8906,Maribyrnong City Council
Spotswood,64 Craig St,2,h,950000,7,2,2,287,210.7,2002,-37.8233,144.8825,Maribyrnong City Council
Thomastown,18 Dakota Dr,3,h,1142000,6.3,3,2,234,176,2012,-37.81961,144.88132,Maribyrnong City Council
Thomastown,13 Kemp Av,3,h,982500,6.3,2,2,444,122,1945,-37.81662,144.866,Maribyrnong City Council
Werribee,46 Vincent Cr,3,h,770000,7,1,2,323,139,1960,-37.8108,144.8899,Maribyrnong City Council
Windsor,8/9 The Avenue,1,h,770000,7,1,1,138,82,1890,-37.82,144.891,Maribyrnong City Council
Altona Meadows,1 Sheppard Ct,4,t,1040000,7,2,0,352,152,2016,-37.8164,144.8869,Maribyrnong City Council
Balwyn North,45A Helston St,4,h,1055000,7,1,3,670,116,1940,-37.8134,144.8745,Maribyrnong City Council
Bentleigh,15A Windsor Av,4,h,1200000,7,2,2,417,157,1900,-37.8197,144.8969,Maribyrnong City Council
Brighton,4 Glendora Av,4,h,1340000,7,2,0,297,175,1900,-37.8108,144.888,Maribyrnong City Council
Bulleen,3 Coromandel Ct,4,h,781500,7,1,2,341,132,1950,-37.8224,144.8818,Maribyrnong City Council
Chadstone,1/1 Dundee Av,4,h,630000,7,2,2,168,121,2000,-37.8225,144.8814,Maribyrnong City Council
Clarinda,10 Boree Av,4,h,1450000,7,2,2,542,211,2016,-37.811,144.8844,Maribyrnong City Council
Craigieburn,12 Surrey Ct,3,h,1606000,7,2,3,455,178,1890,-37.8177,144.8839,Maribyrnong City Council
Fitzroy,302/424 Gore St,1,h,780000,7,1,1,435,114,1950,-37.8223,144.8779,Maribyrnong City Council
Fitzroy North,40 Newry St,3,h,1380000,7,2,2,235,144,1910,-37.815,144.8928,Maribyrnong City Council
Flemington,25 Elm St,3,t,800000,7,2,1,169,150,2007,-37.8122,144.8965,Maribyrnong City Council
Footscray,12/26 Park St,2,h,940000,7,2,2,171,146,2007,-37.8124,144.8957,Maribyrnong City Council
Glen Iris,11/1419 High St,1,h,1200000,6.3,1,0,268,119,1915,-37.81968,144.89142,Maribyrnong City Council
Glen Iris,5/31 Yeovil Rd,2,h,1407000,6.3,2,2,446,152,1955,-37.81845,144.87464,Maribyrnong City Council
Glenroy,4/10 Gladstone Pde,2,h,2450000,6.3,3,2,1087,388.5,1920,-37.81038,144.89389,Maribyrnong City Council
Hawthorn,5 Connell St,2,h,802000,6.2,1,1,174,100.6,1900,-37.83162,144.88742,Hobsons Bay City Council
Heathmont,23 Viviani Cr,3,h,1100000,6.2,2,3,449,154.3,1940,-37.84769,144.87667,Hobsons Bay City Council
Heidelberg Heights,97 Edwin St,4,t,940000,6.2,2,2,510,196,2016,-37.84815,144.86866,Hobsons Bay City Council
Hillside,96 Glenbruar Dr,4,h,868100,6.2,2,3,277,130,2010,-37.83674,144.86794,Hobsons Bay City Council
Hughesdale,10 Bowen St,4,h,850000,6.2,1,2,173,107,2009,-37.84426,144.87911,Hobsons Bay City Council
Kew,56 Hartington St,3,h,1030000,6.2,3,2,212,192,2013,-37.83187,144.87164,Hobsons Bay City Council
Malvern,20 Coonil Cr,4,t,915000,9.1,3,1,662,265,2016,-37.8307,144.8725,Hobsons Bay City Council
Maribyrnong,13 Cedar Dr,3,h,960000,6.2,1,2,282,118,1900,-37.84549,144.89199,Hobsons Bay City Council
Maribyrnong,2/10 Pridham St,3,t,962000,8.4,2,2,283,179,2011,-37.8477,144.8753,Hobsons Bay City Council
Mentone,5 Napier St,4,h,880000,8.4,1,1,557,111,1950,-37.834,144.8668,Hobsons Bay City Council
Mount Waverley,44 William St,5,h,1260000,8.4,1,3,757,159,1960,-37.8411,144.889,Hobsons Bay City Council
Pascoe Vale,17 Valerie St,3,h,1620000,8.4,3,1,425,233,2015,-37.8456,144.8741,Hobsons Bay City Council
Prahran,19 Airlie Av,4,h,970000,8.4,1,1,619,151,1915,-37.839,144.8854,Hobsons Bay City Council
Ringwood,6A Heather Gr,3,t,770000,8.4,2,2,224,132,2015,-37.8424,144.8653,Hobsons Bay City Council
Oak Park,100 Winifred St,3,h,650000,8.4,1,1,149,62,1890,-37.8491,144.8903,Hobsons Bay City Council
Oak Park,68 Vincent St,4,h,1151000,8.4,1,5,571,120,1920,-37.8417,144.8896,Hobsons Bay City Council
Oakleigh South,16 Alleford St,3,t,820000,8.4,2,2,753,204,2006,-37.8413,144.8741,Hobsons Bay City Council
Oakleigh South,4 Cascade St,5,h,1237500,6.2,1,3,505,134,1930,-37.84589,144.8768,Hobsons Bay City Council
Oakleigh South,15 Druitt St,3,h,736500,6.2,1,1,379,79,1950,-37.84836,144.87408,Hobsons Bay City Council
Oakleigh South,15 Yarra Ct,4,h,1040000,6.2,2,2,496,120,1940,-37.83491,144.86864,Hobsons Bay City Council
Parkville,50 Strickland Rd,4,h,980000,6.2,2,2,330,159,2017,-37.84795,144.87468,Hobsons Bay City Council
Parkville,187 Park Dr,3,u,660000,7.7,1,1,221,120,2003,-37.8297,144.8752,Hobsons Bay City Council
Pascoe Vale,16 Stennis St,4,h,710000,6.2,1,2,120,121,2011,-37.84026,144.86667,Hobsons Bay City Council
Pascoe Vale,2/58 Railway Pde,2,h,855000,7.7,1,1,326,112,1991,-37.831,144.8884,Hobsons Bay City Council
Pascoe Vale,1/94 Railway Pde,4,h,850000,7.7,2,0,389,158,1990,-37.8284,144.8861,Hobsons Bay City Council
Pascoe Vale,1/5 Farringdon St,3,h,831000,7.7,1,0,353,109,1890,-37.8309,144.889,Hobsons Bay City Council
Pascoe Vale,4/37 Arndt Rd,2,t,840000,7.7,3,2,278,277,2015,-37.8261,144.8718,Hobsons Bay City Council
Pascoe Vale,30 Downs St,2,h,1315000,7.7,2,3,830,134,1920,-37.829,144.8807,Hobsons Bay City Council
Pascoe Vale,1/10 Callander Rd,2,h,1161000,7.7,2,5,742,236,2000,-37.8248,144.8707,Hobsons Bay City Council
Pascoe Vale,5 Virginia St,3,h,871500,7.7,2,0,389,158,1990,-37.8284,144.8861,Hobsons Bay City Council
Pascoe Vale,12 Coane St,3,t,730000,6.2,2,2,340,135,2000,-37.83172,144.86683,Hobsons Bay City Council
Pascoe Vale,272 Sussex St,3,h,2040000,8,3,2,531,288,1997,-37.8629,144.8781,Hobsons Bay City Council
Pascoe Vale,17 Prospect St,3,u,465000,8,1,1,0,78,1970,-37.8589,144.8921,Hobsons Bay City Council
Pascoe Vale,2/153 Essex St,2,u,550000,8,1,2,0,65,1990,-37.8685,144.9058,Hobsons Bay City Council
Pascoe Vale,259 Sussex St,3,h,1200000,8,3,2,183,191,2006,-37.8566,144.8737,Hobsons Bay City Council
Pascoe Vale,4/305 Cumberland Rd,1,h,1535000,8,1,1,507,186,1910,-37.8681,144.8994,Hobsons Bay City Council
Pascoe Vale,130 Essex St,3,u,890000,8,1,3,0,111,1980,-37.8663,144.8883,Hobsons Bay City Council
Pascoe Vale,217 Sussex St,3,h,2910000,8,3,2,515,286,1990,-37.8609,144.8947,Hobsons Bay City Council
Port Melbourne,175 Stokes St,3,u,310000,8,1,1,0,58,1968,-37.8588,144.8919,Hobsons Bay City Council
Port Melbourne,22 Park Sq,3,u,375000,8,1,1,0,49,1970,-37.8504,144.8924,Hobsons Bay City Council
Port Melbourne,467 Bay St,2,h,2050000,8,2,2,648,285,2011,-37.8601,144.8879,Hobsons Bay City Council
Port Melbourne,510/166 Rouse St,1,h,1482500,8,2,1,506,139,1910,-37.8592,144.888,Hobsons Bay City Council
Port Melbourne,255 Ross St,4,h,1150000,6.8,2,2,330,112,2000,-37.85714,144.87523,Hobsons Bay City Council
Port Melbourne,9 The Cove,3,h,1150000,6.8,2,2,270,150,1998,-37.85681,144.87529,Hobsons Bay City Council
Port Melbourne,309/166 Rouse St,2,h,1031000,6.8,2,2,333,133,1995,-37.85927,144.87904,Hobsons Bay City Council
Port Melbourne,98 Heath St,2,t,670000,8.9,2,2,146,141,2001,-37.857,144.8846,Hobsons Bay City Council
Port Melbourne,16 Nelson St,3,h,1070000,8.9,2,5,442,249,2003,-37.8538,144.8722,Hobsons Bay City Council
Port Melbourne,3/1 Seisman Pl,2,h,1295000,6.8,2,0,313,155,1915,-37.86217,144.89765,Hobsons Bay City Council
Port Melbourne,14/200 Bay St,1,h,980000,6.8,1,1,294,120,1900,-37.85149,144.88893,Hobsons Bay City Council
Port Melbourne,56/15 Beach St,2,h,2400000,6.8,2,2,462,28,2000,-37.86341,144.87786,Hobsons Bay City Council
Prahran,4/313 Dandenong Rd,1,h,1050000,6.8,1,0,179,115,1890,-37.86558,144.90474,Hobsons Bay City Council
Prahran,57 Clarke St,2,u,385000,6.8,1,1,0,35.6,1967,-37.85588,144.89936,Hobsons Bay City Council
Prahran,20a Park Rd,3,u,458000,11,1,1,63,75,1975,-37.86933,144.81704,Hobsons Bay City Council
Prahran,12/67 High St,2,u,630000,13.8,1,2,311,94,1955,-37.8702,144.8143,Hobsons Bay City Council
Prahran,29 Murray St,2,h,660000,13.8,1,1,602,123,1955,-37.8616,144.8116,Hobsons Bay City Council
Prahran,35 Chomley St,2,u,425000,13.8,1,2,115,57,1980,-37.871,144.8185,Hobsons Bay City Council
Preston,287 Plenty Rd,3,u,447000,13.8,1,1,137,77,1990,-37.8655,144.8299,Hobsons Bay City Council
Preston,15 Watson St,3,u,730000,13.8,2,1,70,3,2014,-37.868,144.8285,Hobsons Bay City Council
Preston,246 Murray Rd,3,h,1415000,12.7,3,6,705,313,2005,-37.864,144.8437,Hobsons Bay City Council
Preston,22/2 Arthur St,1,h,780000,8.6,1,1,613,110,1950,-37.77998,144.85338,Maribyrnong City Council
Preston,34 Booth St,2,h,840000,8.6,1,2,620,93,1960,-37.78311,144.85331,Maribyrnong City Council
Preston,2 Esther St,2,h,645000,10.8,2,1,283,154,1990,-37.7908,144.8485,Maribyrnong City Council
Preston,21 George St,2,h,652000,10.8,2,1,216,145,2010,-37.7865,144.8605,Maribyrnong City Council
Preston,1/28 Carlisle St,2,h,850000,10.8,2,2,606,240,2002,-37.788,144.862,Maribyrnong City Council
Keysborough,3 Cobain St,3,h,575000,10.8,1,3,559,98,1955,-37.7923,144.852,Maribyrnong City Council
Westmeadows,42 Pascoe St,4,h,730000,10.8,2,2,544,135,1970,-37.7815,144.855,Maribyrnong City Council
Doncaster,172 George St,5,t,475000,10.8,1,1,115,104,1980,-37.7948,144.854,Maribyrnong City Council
Frankston,115 Heatherhill Rd,5,h,550000,10.8,2,1,288,160,2000,-37.7775,144.855,Maribyrnong City Council
Mount Waverley,14 Wingate Av,1,h,700000,10.5,2,0,526,103,1920,-37.76753,144.83462,Brimbank City Council
Warrandyte,8 Alan Pl,5,h,940000,12.6,2,2,572,190,1950,-37.7966,144.8256,Brimbank City Council
Avondale Heights,3 Karen Ct,3,h,726000,12.6,2,0,567,95,1950,-37.7866,144.8458,Brimbank City Council
Avondale Heights,42 Ridge Dr,3,h,775000,13.3,1,2,665,147,1980,-37.7662,144.8383,Brimbank City Council
Blackburn,16 Wellington Av,4,u,600000,13.9,1,1,181,129,2000,-37.7815,144.8128,Brimbank City Council
Box Hill,37 Thames St,4,h,547500,13.5,1,2,603,131,1950,-37.7891,144.823,Brimbank City Council
Burnside,15 Roycroft Av,3,h,520000,13.5,1,2,691,170,1960,-37.7886,144.8138,Brimbank City Council
Doncaster East,6 Jising Ct,4,h,586000,13.5,1,1,701,120,1960,-37.7843,144.8052,Brimbank City Council
Ferntree Gully,18 Glenfern Rd,4,h,781000,10.5,2,2,292,164,2015,-37.77792,144.81678,Brimbank City Council
Forest Hill,53 Longbrae Ct,4,h,805000,10.5,1,2,631,115,1965,-37.78956,144.84526,Brimbank City Council
Mernda,41 Friesian St,4,h,780000,10.5,2,2,696,199,1999,-37.78647,144.81319,Brimbank City Council
Mount Waverley,468 Waverley Rd,5,h,770000,10.5,1,2,608,130,1960,-37.77388,144.84369,Brimbank City Council
Port Melbourne,178 Farrell St,4,h,730000,13.9,2,3,628,140,1960,-37.7801,144.8121,Brimbank City Council
Reservoir,42 Wattle Gr,3,h,593000,13.9,2,2,605,102,1965,-37.7792,144.8117,Brimbank City Council
Sunbury,50 Dunrossil Dr,3,h,600000,13.9,1,1,697,110,1928,-37.7842,144.8175,Brimbank City Council
Templestowe Lower,11 Oak Cr,5,h,840000,13.9,1,0,697,153,1920,-37.7809,144.8228,Brimbank City Council
Werribee,3 Wyndham St,2,u,600000,10.5,2,2,247,127,2013,-37.77976,144.81559,Brimbank City Council
Glenroy,9 Hartington St,3,h,1070000,10.5,2,2,573,198,1940,-37.79127,144.83713,Brimbank City Council
Huntingdale,33 Beauford St,3,h,750000,10.5,2,4,588,113,1955,-37.77049,144.83167,Brimbank City Council
Kew East,25 Minogue St,6,h,632000,10.5,1,1,471,121,1950,-37.76951,144.83309,Brimbank City Council
Mount Waverley,34 Park La,3,h,650000,10.5,1,1,650,117,1965,-37.78651,144.81357,Brimbank City Council
Northcote,39 Winifred St,4,h,760000,10.5,1,1,697,121,1950,-37.78036,144.8195,Brimbank City Council
South Morang,15 Jenolan Wy,4,h,1350500,12.6,1,0,726,181,1940,-37.7864,144.8353,Brimbank City Council
St Kilda,20 Fawkner St,4,u,490000,12.6,1,1,301,115,1950,-37.7793,144.8427,Brimbank City Council
Bentleigh East,16 Bevis St,5,h,600000,12.6,1,1,0,126,1950,-37.7796,144.8455,Brimbank City Council
Boronia,2 Norwich St,4,h,670000,12.6,1,1,603,106,1950,-37.7945,144.8267,Brimbank City Council
Brighton East,375 South Rd,5,h,605000,12.6,1,1,462,104,1956,-37.7969,144.8276,Brimbank City Council
Burwood,58 Eley Rd,4,h,570000,12.6,1,2,535,105,1970,-37.7956,144.8292,Brimbank City Council
Chelsea Heights,7 Brolga Av,3,h,700000,12.6,1,4,505,75,1960,-37.7817,144.8448,Brimbank City Council
Croydon,9 Columbia Av,5,h,625000,12.6,1,1,459,120,1955,-37.7813,144.8394,Brimbank City Council
Croydon,19 Sevenoaks Av,5,h,695000,12.6,1,1,616,117,1930,-37.7842,144.843,Brimbank City Council
Fitzroy North,134 Clauscen St,2,t,500000,12.6,1,2,224,159,1985,-37.7863,144.8401,Brimbank City Council
Fitzroy North,171 Scotchmer St,4,h,895000,12.6,2,3,430,144,1945,-37.7939,144.8283,Brimbank City Council
Kew,16 Hodgson St,5,h,635000,12.6,1,1,631,107,1960,-37.7836,144.8408,Brimbank City Council
Keysborough,17 Kotiko Rd,3,h,480000,13.3,1,2,546,99,1978,-37.7555,144.8295,Brimbank City Council
Kilsyth,17 Birkenhead Dr,3,h,435000,13.3,1,4,343,81,1960,-37.7689,144.8402,Brimbank City Council
Lalor,183 Kingsway Dr,3,h,571500,13.3,2,2,528,137,1990,-37.758,144.8256,Brimbank City Council
Skye,10 Rocklea Cr,3,h,736000,13.3,1,2,615,133,1955,-37.7675,144.8414,Brimbank City Council
Sunbury,8 Batman Av,2,h,591000,13.3,1,2,673,673,1970,-37.7623,144.8272,Brimbank City Council
